Role_Name,Skill_Name,TEST
Account Manager,Account Management,Yes
Consultancy Director,Account Management,Yes
Consultant,Account Management,Yes
Sales Director,Account Management,Yes
Solutioning Director,Account Management,Yes
Finance Executive,Accounting and Tax Systems,Yes
Finance Director,Accounting and Tax Systems,Yes
Finance Manager,Accounting and Tax Systems,Yes
Finance Executive,Accounting Standards,Yes
Finance Manager,Accounting Standards,Yes
Developer,Applications Development,Yes
Developer,Applications Integration,Yes
Developer,Applications Support and Enhancement,Yes
Finance Executive,Audit Compliance,Yes
Finance Director,Audit Compliance,Yes
Finance Manager,Audit Compliance,Yes
Finance Manager,Audit Frameworks,Yes
Senior Engineer,Automated Equipment and Control Configuration,Yes
Account Manager,Budgeting,Yes
Consultancy Director,Budgeting,Yes
Engineering Director,Budgeting,Yes
Sales Director,Budgeting,Yes
Sales Manager,Budgeting,Yes
Solutioning Director,Budgeting,Yes
Finance Manager,Business Acumen,Yes
HR Director,Business Acumen,Yes
IT Director,Business Acumen,Yes
Account Manager,Business Development,Yes
Consultancy Director,Business Development,Yes
Consultant,Business Development,Yes
Sales Director,Business Development,Yes
Solutioning Director,Business Development,Yes
Developer,Business Environment Analysis,Yes
Account Manager,Business Needs Analysis,Yes
Consultancy Director,Business Needs Analysis,Yes
Consultant,Business Needs Analysis,Yes
Developer,Business Needs Analysis,Yes
IT Analyst,Business Needs Analysis,Yes
Sales Director,Business Needs Analysis,Yes
Solutioning Director,Business Needs Analysis,Yes
Support Engineer,Business Needs Analysis,Yes
Account Manager,Business Negotiation,Yes
Sales Director,Business Negotiation,Yes
Sales Manager,Business Negotiation,Yes
Sales Manager,Business Presentation Delivery,Yes
Developer,Business Requirements Mapping,Yes
Developer,Business Risk Management,Yes
Call Centre,Call Centre Management,Yes
Account Manager,Collaboration,Yes
Admin Executive,Collaboration,Yes
Call Centre,Collaboration,Yes
Consultant,Collaboration,Yes
Developer,Collaboration,Yes
Finance Executive,Collaboration,Yes
Finance Manager,Collaboration,Yes
HR Executive,Collaboration,Yes
IT Analyst,Collaboration,Yes
Junior Engineer,Collaboration,Yes
L&D Executive,Collaboration,Yes
Ops Planning Exec,Collaboration,Yes
Sales Director,Collaboration,Yes
Sales Manager,Collaboration,Yes
Senior Engineer,Collaboration,Yes
Support Engineer,Collaboration,Yes
Account Manager,Communication,Yes
Admin Executive,Communication,Yes
Call Centre,Communication,Yes
Consultancy Director,Communication,Yes
Consultant,Communication,Yes
Developer,Communication,Yes
Engineering Director,Communication,Yes
Finance Executive,Communication,Yes
Finance Director,Communication,Yes
Finance Manager,Communication,Yes
HR Director,Communication,Yes
HR Executive,Communication,Yes
IT Analyst,Communication,Yes
IT Director,Communication,Yes
Junior Engineer,Communication,Yes
L&D Executive,Communication,Yes
Ops Planning Exec,Communication,Yes
Sales Director,Communication,Yes
Sales Manager,Communication,Yes
Senior Engineer,Communication,Yes
Solutioning Director,Communication,Yes
Support Engineer,Communication,Yes
Developer,Configuration Tracking,Yes
Support Engineer,Configuration Tracking,Yes
Sales Manager,Customer Acquisition Management,Yes
Admin Executive,Customer Relationship Management,Yes
Call Centre,Customer Relationship Management,Yes
Sales Manager,Customer Relationship Management,Yes
Account Manager,Data Analytics,Yes
Consultancy Director,Data Analytics,Yes
Consultant,Data Analytics,Yes
Finance Executive,Data Analytics,Yes
Finance Director,Data Analytics,Yes
Finance Manager,Data Analytics,Yes
Sales Director,Data Analytics,Yes
Solutioning Director,Data Analytics,Yes
Developer,Database Administration,Yes
HR Director,Developing People,Yes
Call Centre,Digital Fluency,Yes
HR Executive,Digital Fluency,Yes
HR Director,Employee Communication Management,Yes
HR Executive,Employee Communication Management,Yes
L&D Executive,Employee Communication Management,Yes
HR Executive,Employee Engagement Management,Yes
Finance Director,Finance Business Partnering,Yes
Finance Manager,Finance Business Partnering,Yes
HR Director,Financial Acumen,Yes
IT Director,Financial Acumen,Yes
Finance Executive,Financial Closing,Yes
Finance Executive,Financial Management,Yes
Finance Director,Financial Management,Yes
Finance Manager,Financial Management,Yes
Finance Director,Financial Planning,Yes
Finance Manager,Financial Planning,Yes
Finance Executive,Financial Reporting,Yes
Finance Director,Financial Reporting,Yes
Finance Manager,Financial Reporting,Yes
Finance Manager,Financial Statements Analysis,Yes
Finance Executive,Financial Transactions,Yes
HR Director,Human Resource Advisory,Yes
IT Director,Human Resource Advisory,Yes
HR Director,Human Resource Practices Implementation,Yes
HR Executive,Human Resource Practices Implementation,Yes
L&D Executive,Human Resource Practices Implementation,Yes
HR Director,Human Resource Strategy Formulation,Yes
IT Director,Human Resource Strategy Formulation,Yes
HR Executive,Human Resource Systems Management,Yes
IT Director,Human Resource Systems Management,Yes
L&D Executive,Human Resource Systems Management,Yes
IT Analyst,Infrastructure Deployment,Yes
IT Analyst,Infrastructure Support,Yes
Support Engineer,Infrastructure Support,Yes
L&D Executive,Learning and Development Programme Management,Yes
L&D Executive,Learning Needs Analysis,Yes
IT Analyst,Network Administration and Maintenance,Yes
Support Engineer,Network Administration and Maintenance,Yes
HR Executive,Onboarding,Yes
HR Director,Organisational Design,Yes
Consultancy Director,People and Performance Management,Yes
Sales Director,People and Performance Management,Yes
Solutioning Director,People and Performance Management,Yes
Support Engineer,People and Performance Management,Yes
Account Manager,Pricing Strategy,Yes
Sales Director,Pricing Strategy,Yes
Consultancy Director,Problem Management,Yes
Consultant,Problem Management,Yes
Developer,Problem Management,Yes
Solutioning Director,Problem Management,Yes
Support Engineer,Problem Management,Yes
Account Manager,Problem Solving,Yes
Admin Executive,Problem Solving,Yes
Call Centre,Problem Solving,Yes
Consultancy Director,Problem Solving,Yes
Consultant,Problem Solving,Yes
Developer,Problem Solving,Yes
Engineering Director,Problem Solving,Yes
Finance Executive,Problem Solving,Yes
IT Analyst,Problem Solving,Yes
Junior Engineer,Problem Solving,Yes
L&D Executive,Problem Solving,Yes
Ops Planning Exec,Problem Solving,Yes
Sales Director,Problem Solving,Yes
Sales Manager,Problem Solving,Yes
Senior Engineer,Problem Solving,Yes
Solutioning Director,Problem Solving,Yes
Support Engineer,Problem Solving,Yes
Account Manager,Product Management,Yes
Consultancy Director,Product Management,Yes
Consultant,Product Management,Yes
Developer,Product Management,Yes
Sales Director,Product Management,Yes
Solutioning Director,Product Management,Yes
Finance Executive,Professional and Business Ethics,Yes
Finance Director,Professional and Business Ethics,Yes
Finance Manager,Professional and Business Ethics,Yes
Consultancy Director,Project Management,Yes
Consultant,Project Management,Yes
Developer,Project Management,Yes
Finance Executive,Project Management,Yes
Finance Manager,Project Management,Yes
HR Director,Project Management,Yes
IT Analyst,Project Management,Yes
IT Director,Project Management,Yes
Ops Planning Exec,Project Management,Yes
Sales Director,Project Management,Yes
Solutioning Director,Project Management,Yes
Support Engineer,Project Management,Yes
